t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
0,0,0,9000,6000,7800,7800,10800,8400,12600,16800,21600,26400,31200,37800,46200,45600,47400,49200,46800,54000,56400,60000,57000,56400,59400,68400,77400,86400,95400,104400,113400,122400,131400,140400,149400,158400,167400,176400,185400,194400,203400,201000,202200,199800,207000,209400,207000,204600,207000,206400,208200,208200,210600,214200,214200,211800,220200,229200,235200,238800,235800,234600,234000,237000,238200,244800,250800,257400,259800,262200,260400,262200,265800,268800,268200,268800,266400,274200,280800,283200,283800,285600,291600,299400,302400,308400,313200,312600,319200,324600,330600,334200,338400,343200,342000,348000,353400,361800,364200,367200,367800,367800,369000,374400,382200,379800,387000,391200,393000,396000,393000,392400,389400,388800,388200,391800,395400,399000,398400,399600,396600,405000,403200,405600,405000,406200,414600,412200,411600,414600,415200,418800,417600,426600,427800,430800,435000,443400,451800,459000,459000,461400,460200
3600,4800,5400,7800,16200,19800,21000,27600,30000,37800,42000,47400,44400,47400,50400,58800,56400,65400,68400,69000,72600,70200,67200,69000,75600,80400,82200,91200,100200,109200,118200,127200,136200,145200,154200,163200,172200,181200,190200,199200,207600,206400,208200,211800,219600,218400,222000,229800,228000,231000,238800,237600,235800,239400,247800,254400,259800,258600,259200,268200,272400,271800,270000,278400,286800,287400,288000,291000,296400,298800,305400,304800,313200,322200,325800,330600,333000,335400,342000,343800,345000,345000,351600,356400,358200,359400,366000,366600,375000,376200,383400,381000,390000,391800,396600,405000,408000,409200,414000,420000,418800,423600,424200,423600,427800,432000,430800,436200,437400,435600,433800,438600,437400,445200,446400,446400,454800,456600,456000,463200,462000,468600,476400,482400,482400,483000,484200,487800,496200,505200,511800,519000,523800,523800,532800,537600,536400,544200,543600,547800,546000,554400,562200,563400
1800,1800,3000,1200,7200,13200,11400,18600,24000,24000,28800,30000,38400,37200,40200,49200,47400,51600,58200,58800,65400,67800,72000,79200,87600,93600,102600,106200,111600,120600,129600,138600,147600,156600,165600,174600,183600,192600,201600,210600,219600,222000,225000,225000,228600,226200,235200,235200,235800,239400,241800,250800,255600,258000,264600,268200,270000,276600,282600,282000,283800,289200,295800,294600,295800,303600,301200,309600,310800,319800,325800,332400,335400,340200,348600,352800,355800,360000,358200,358200,356400,356400,360600,360000,360600,368400,373800,370800,370800,379800,377400,378000,382200,389400,389400,397200,394800,403800,405000,403200,404400,407400,404400,412800,417000,422400,424800,421800,424800,432000,429600,432000,441000,446400,443400,445800,445200,442200,445200,454200,453600,452400,453600,453000,460800,469200,478200,478200,483000,488400,486000,490200,495000,495600,499200,505800,507000,515400,522600,527400,524400,525000,522000,520200
0,1200,4200,3600,7800,9000,9600,13200,15000,21000,20400,29400,28200,37200,45600,43200,51600,56400,54600,58800,60600,58200,66000,72600,76800,77400,77400,86400,95400,104400,113400,122400,131400,140400,149400,158400,167400,176400,185400,194400,203400,212400,212400,221400,218400,225000,230400,235800,240000,242400,243600,251400,251400,250800,248400,246600,249600,255600,253200,250200,252600,255000,253200,257400,261000,258000,259200,262200,262800,259800,266400,269400,276000,275400,283800,291000,292200,292800,301800,306600,313800,320400,327000,334800,339000,337200,339000,348000,350400,359400,364800,361800,369000,371400,368400,369600,378600,383400,388200,392400,390600,396000,398400,403800,406800,411000,409800,417600,421200,423000,424800,432000,437400,439800,445800,444600,453600,459000,460200,458400,459000,464400,462600,459600,468600,471000,468600,472200,477600,481800,490800,488400,496800,497400,495600,504600,512400,514200,520800,529200,528600,532200,532800,540000
0,3000,6600,14400,13200,20400,24600,24600,25800,34800,40800,41400,42600,48000,48000,45000,51600,57000,56400,58200,55200,55200,52200,49200,48600,48000,57000,66000,75000,84000,93000,102000,111000,120000,129000,138000,147000,156000,165000,174000,183000,187800,193800,193200,193200,196800,205200,213000,216000,225000,231600,235800,235800,238800,238200,235200,243600,243000,246600,243600,248400,253200,250200,256800,264600,266400,273000,280800,288600,292200,297000,304200,301200,308400,309600,308400,314400,313800,319800,317400,315600,323400,331200,328200,325200,328800,336600,340800,348000,351600,350400,357000,355800,361200,362400,365400,363000,369000,366000,370800,370800,372600,380400,378000,385800,387600,387600,384600,382200,385200,385800,384600,387000,385800,393600,396600,401400,409200,411000,420000,422400,421800,428400,425400,428400,435600,441600,445800,451800,454800,451800,450000,448200,451800,451200,450600,450000,458400,457800,462600,469200,477600,480600,481200
7200,8400,9000,18000,27000,25200,30000,27000,25200,26400,25200,28200,33000,37200,41400,40800,41400,50400,48000,47400,55800,57000,56400,58200,61800,59400,68400,77400,86400,95400,104400,113400,122400,131400,140400,149400,158400,167400,176400,185400,194400,203400,207000,204000,204000,207000,216000,219600,220200,220800,225000,222000,222000,226800,229800,232200,238200,237000,243600,246600,252000,261000,261000,267000,265200,264600,271800,271200,273000,271200,274800,271800,274800,283800,280800,279600,279600,283800,280800,287400,286200,292800,292800,292800,294600,294600,303600,311400,309000,316200,322800,324600,332400,337200,345000,346200,352800,361800,361200,369000,373200,370800,367800,365400,369000,375000,375600,375600,379800,382200,391200,398400,398400,402000,410400,417000,420000,418200,415800,414600,420600,422400,421800,422400,422400,425400,426000,432000,439800,441600,444600,443400,444000,443400,443400,450600,456600,455400,457200,460800,463800,460800,464400,463800
0,600,0,9000,12000,13200,12600,13200,12000,20400,22200,28200,26400,24600,30600,37800,42600,46800,51600,49800,47400,49200,54600,63600,64200,63000,67800,76800,85800,94800,103800,112800,121800,130800,139800,148800,157800,166800,175800,184800,193800,199200,197400,196200,197400,200400,200400,201600,210600,209400,218400,218400,218400,219600,225600,233400,231000,232200,235800,241800,250200,253200,262200,267000,273600,276000,277200,277200,282600,289800,294600,291600,289200,298200,299400,304800,309600,306600,304800,305400,308400,312600,314400,317400,316200,324000,322800,319800,319800,326400,332400,333000,336600,333600,333000,333000,336600,336600,336000,339600,346200,346200,346200,352800,358200,360600,357600,364200,368400,370200,369000,378000,382800,388200,396000,403200,408600,415200,419400,417000,415200,419400,424800,421800,418800,418200,424800,433200,441600,442200,444600,450600,459600,463200,463200,465000,472800,481800,489000,488400,496200,495000,492600,493800
0,6000,13200,13800,20400,18600,21600,22200,24000,23400,32400,30000,28800,30000,28800,27600,25800,30000,34200,35400,39600,38400,35400,43800,46200,45600,54600,63600,72600,81600,90600,99600,108600,117600,126600,135600,144600,153600,162600,171600,180600,180600,178800,175800,184200,185400,188400,185400,186000,192600,195000,195000,198600,203400,212400,216600,217800,219600,223800,225000,226800,225000,227400,231600,232800,237600,240000,244200,244800,250800,253800,257400,259200,267000,275400,276600,276000,283800,285000,288600,291600,295200,294600,293400,300000,304200,305400,303600,307800,313200,321000,318000,323400,327600,325200,324600,327600,333600,342600,348000,349800,358200,364200,368400,368400,366600,370800,378600,386400,387600,391800,397800,403800,411000,411600,420600,422400,424200,424200,432600,434400,442800,447000,450000,449400,453600,458400,457200,459600,468600,467400,472800,476400,477600,481800,478800,478800,483000,489600,494400,498600,502200,508800,514800
6600,10200,19200,22200,24600,25200,25200,30000,28800,31200,37800,44400,46200,44400,52200,50400,57000,56400,58200,55800,57600,66600,68400,66000,72600,72600,72600,81600,90600,99600,108600,117600,126600,135600,144600,153600,162600,171600,180600,189600,198000,197400,201000,210000,213600,211800,213000,212400,217200,216600,220200,222600,222600,229800,235200,234600,238200,245400,249600,250200,258000,264600,269400,272400,273000,272400,271800,271200,270600,270600,276000,280800,285000,292800,292200,294000,301800,301200,306600,306000,308400,307800,307800,308400,313200,315000,312600,316200,318000,320400,328800,334800,341400,342000,342600,348600,346200,354600,352800,358200,366000,374400,372000,375600,380400,380400,378600,379200,387600,385200,384000,391800,396000,396600,403200,406800,406200,408600,411600,420600,420600,426000,423600,421200,419400,427800,425400,425400,427800,434400,436200,435000,436800,433800,432600,434400,438600,445200,450600,453600,459600,465000,463200,461400
4800,3600,12600,12600,19200,18000,16800,19800,25200,27600,27000,25800,29400,28200,26400,27000,25200,33000,40200,40200,37200,44400,43200,46800,49800,50400,59400,68400,77400,86400,95400,104400,113400,122400,131400,140400,149400,158400,167400,176400,185400,182400,184800,193200,198000,195600,203400,206400,203400,207600,211800,210000,213000,210000,212400,212400,210000,217200,225600,223800,221400,222600,222000,219000,217200,224400,222000,222000,219600,219600,220800,223200,225600,223800,231600,237600,243600,247800,255000,256200,265200,263400,270000,268800,276600,273600,281400,288000,291600,289800,288000,292800,291000,289200,287400,291600,291000,298800,298800,302400,301800,309000,315600,312600,311400,318600,322800,328200,333600,342600,344400,351000,355200,361200,358800,357000,356400,354600,358200,361800,369000,376800,376200,378600,380400,380400,378600,385200,390600,388800,386400,393600,394200,396000,403200,403800,401400,406800,406200,403800,402000,409800,409200,408000
