episode,agent_25Wh,agent_100Wh,agent_50Wh,agent_37Wh,agent_65Wh
0,5.798786918308973,12.456981924090856,11.970645405506835,6.488466129213508,7.349676128576165
1,5.952459353407856,12.106655608807454,11.135158805173091,6.557293164964537,8.018948705853315
2,6.596843037185013,11.820495940630348,11.603073496647962,6.801465339580262,8.526028277891541
3,7.273538519696346,12.36528580435932,10.797540242462942,6.782983081500653,8.19807545355877
4,7.041441421721467,12.241866970320393,11.417295204421226,7.043066893663508,8.049809089606649
5,7.413437577701415,12.445058670349313,10.792474178845138,7.025278618399891,8.284981247913622
6,8.040297316963253,12.33975002306818,10.953591679912206,8.161255282553936,7.79691641515035
7,7.764570561753096,12.5075743203763,11.905266823137053,7.0836119028166005,8.521295158303879
8,7.3376882048802825,11.865735237411691,11.115999190541263,7.283072759814889,8.631366828889659
9,7.696857881726793,12.616050122234823,11.269042443787693,7.278051752985082,8.114769187521247
10,7.34596929192762,12.162533393250687,11.513780540999269,7.859253775677014,8.108124992217736
11,7.347035223337428,12.922986234599671,11.373385875754947,7.4304631224180175,8.3958432051391
12,7.59554607186012,11.803384542835866,11.24391228309749,7.988097467161082,8.123843479720307
13,6.8534981140442355,12.785570977559997,11.324365595626753,7.297955561443922,8.269610440746167
14,6.915240152544662,12.162659532837306,12.088786090330032,7.642275103765797,9.115712163286798
15,7.321719608625847,11.81868140246958,11.16589822327299,7.2382522798772255,8.201258195558566
16,7.164097723235664,11.886531959682275,11.262917441105406,8.311327823333716,8.15880904316422
17,7.622202288389853,11.952765091339481,11.581500723649318,7.117798348398725,8.046620135053688
18,7.202428907931578,12.25429298827864,11.602077576698006,7.65898419900891,8.591772860990432
19,7.032077525622902,12.294254181612422,11.632641743249998,7.7743020624318815,8.230523213780419
20,8.033577398537783,11.850157336480324,11.42702923888636,7.697938357036128,8.049502264739669
21,7.449082117318975,12.072642257473104,10.758878590447182,7.4818929436497985,8.820067634740766
22,7.550356771760614,12.950125391986642,11.800042284565539,7.5030271311980155,8.854791132760935
23,7.035124814006822,12.782160910197078,10.757625964938631,7.5689276618774715,8.0684716203992
24,7.351152226572852,12.259217042229883,11.300993814290472,7.507595358182545,7.5752454012159784
25,7.57725008371283,12.09789739452453,10.904652098711637,7.914408689986521,8.696039131898907
26,7.147809288853374,12.131118703191456,11.163453690278146,8.37255235204075,8.038040243590785
27,7.680831884011092,12.330980824980928,11.310791502035201,7.378496060812047,8.614885442689227
28,7.350426369721486,11.668275087425451,11.308014582026079,7.088745318540045,7.537381554507893
29,7.461229489651539,11.978268609131955,11.345725937271943,7.551431005421865,8.65639951823279
