episode,agent_25Wh,agent_100Wh,agent_50Wh,agent_37Wh,agent_65Wh
0,6.532888349669847,13.468916851276992,12.62129406862892,6.920961921743963,8.608610105322978
1,6.744506498438685,13.322947750268266,12.334864835318717,7.966775972777083,8.31333903440458
2,6.501297058854222,13.605072222739821,12.035632310203292,7.197867478286696,8.212978289523091
3,7.757610681713798,14.455028379598492,12.72685461123822,7.981155192216744,9.305412388895126
4,8.1934471253739,12.631616431498747,13.278888434965653,8.797472664602793,9.416640343606703
5,8.206511775077288,13.776985636040024,12.42618546163899,7.939801890380527,9.930568964976759
6,7.972286420926231,13.014845893121302,11.530890430034834,8.632454446152071,8.89689592058072
7,9.053692866570014,13.416110770056298,12.811489973994284,8.147969081138754,9.542997676444413
8,8.669595932974104,13.313528365957344,12.943937337048913,8.2697682737667,9.120132495266676
9,8.399915346456684,13.23233157654555,11.864014637422182,8.153565064558812,9.765670987008711
10,8.041489072780172,13.420365859362159,12.604193513411934,8.18287601240774,9.692766715210688
11,8.166531083480788,12.914698528821148,12.719585434693572,9.58116246092077,9.340880434406236
12,8.999974839756801,13.888207119102345,12.499365794478022,8.823341460710523,9.103554869528239
13,8.547360804129463,12.617711723351796,12.197947430482571,8.92923057924057,9.670637150979656
14,8.275278002443814,13.667970716617639,12.956765207351918,8.683887569930127,9.535617638979543
15,8.694858761820115,13.278135936574916,12.36065243889426,7.830879041389782,8.957350208542046
16,8.175995714626467,12.898161254299183,11.90629410441106,8.641480370870156,8.678564358039448
17,9.079236836266656,13.516150361515145,11.66929337111475,8.92310130464397,9.131314250888646
18,9.023659992544362,12.724450245906844,13.05962981766282,8.14531768070366,9.918682189062759
19,8.31820213435671,13.44294984683321,12.789072255373286,8.880432439054015,9.75782316552153
20,8.26471376701911,12.784784412644177,12.567022642876337,8.777913463156679,8.776975926552613
21,7.487745511865599,13.632651855177638,12.34515877527497,9.24231288977338,8.755096484523365
22,7.931096910074903,13.009119015161316,12.307895160310007,8.324346722938438,9.813528790812907
23,7.986072183293481,13.222132907687252,12.078265475314936,8.052833793148052,8.76670292380081
24,8.575095797723193,13.5573578419854,12.34886387220176,8.359187803977,9.48287205587148
25,8.395160550888761,13.077437071157638,11.639638989703727,9.094811919635738,8.993240720258767
26,8.004403672191462,13.398997627736803,12.220929264624926,7.783422467618576,9.966807193760122
27,8.426568419535748,12.743858110163629,12.399482623141433,7.68896768271848,8.929926376803195
28,8.740573640491524,13.708976267523935,12.786226382665262,8.565881723038673,9.761509830472157
29,8.75411700146079,14.219293870641193,12.513308032983645,8.351933732648925,9.347421863344506
30,7.8141239273788345,14.681577063006644,12.86394524211175,8.526855152518301,9.376929189862643
31,8.51599407808271,13.46610915482736,13.096714667053272,8.915552957044913,8.411284601259068
32,8.034723278928931,13.77977577065339,12.974509752881135,8.314200080195414,8.317558690320253
33,8.943587966479761,12.623802775050834,12.727692841900915,7.779861579860309,9.18252794453339
34,8.906827061087274,14.101315197369125,12.5350614257521,9.369192018351672,9.387743618916305
35,8.257791961025852,13.774388002448292,12.118148533433919,8.146166868225425,8.794115529371599
36,8.31829190575819,13.207315552014265,12.840856397005478,8.12284867670468,8.813354977964172
37,8.440871228638041,13.981817391431962,13.235574196414824,9.000849944606298,9.533705437862979
38,7.750332563417086,13.310572228021526,12.673765234997642,8.409315511863335,9.538986287965987
39,8.76567645857209,13.21897556352661,13.335329945163256,8.546636218480618,9.23532489442284
40,8.531625669050388,13.638988047868809,11.889341391945687,8.782568267960418,9.637985515094165
41,9.02149722978302,12.946578244228997,12.04533329626839,9.030776228362521,8.793120161686884
42,8.22084548125196,13.884819353052686,12.889266961722132,8.463587062285532,9.149293887430154
43,8.40519272393144,12.949893235830562,12.641084629382162,9.221566132727899,10.019344973738951
44,8.052473085552254,12.952564440118046,13.081871669996074,7.742798761953997,9.332742524905001
45,8.256577064719622,13.015729137322584,12.523585483527349,8.917526637971967,9.361746926123656
