episode,agent_25Wh,agent_100Wh,agent_50Wh,agent_37Wh,agent_65Wh
0,3.5729749714050456,6.748358163538232,6.2997534260354815,3.886423322962728,4.385698016175248
1,4.393626148912775,8.126056727142235,7.542371972199381,4.6804035120007805,5.378754912672925
2,5.190854791005398,9.427541316454365,8.695461015202865,5.5436489566159874,6.268444504730996
3,6.0962240776623995,10.769152393459995,9.976610012602293,6.3584458647298625,7.222744272375437
4,6.96318367095981,12.10050523005573,11.271003746307185,7.185422692106533,8.134757521902104
5,7.803175205605479,13.423738387710282,12.457405210049401,8.000779198562414,9.111324620602975
6,7.95403527791651,13.4188832885188,12.455695154527703,8.126970607628794,9.219740281591747
7,8.096237736420722,13.378058366374086,12.49416721446519,8.288409256443162,9.322494421591912
8,8.34610551451098,13.40637185601034,12.540540562892662,8.450956654685545,9.411552079592429
9,8.425080526752543,13.222640190385672,12.487649844817096,8.545764193387926,9.448074555800881
10,8.433263614459536,13.326275618897562,12.455437522055721,8.53440568392066,9.459972285338164
11,8.482098313133818,13.276390648951052,12.44888421978125,8.523513399021585,9.362650409694691
12,8.502469242503842,13.264722185068841,12.486424587218872,8.524415991493393,9.340817253440568
13,8.505023639473507,13.274726144214723,12.372204926930918,8.601929213843915,9.299648910884992
14,8.540430045430533,13.215818332209674,12.383774174992308,8.58948415453761,9.379503880264599
15,8.532258724220535,13.236880159238439,12.476279936787417,8.662170891987131,9.37871909811588
16,8.55458119364443,13.17332201456664,12.47256284973386,8.721674637062025,9.287140019250073
17,8.48670263648291,13.245117347202289,12.435120183792002,8.687789679947286,9.228561624261786
18,8.37981484351472,13.15720853680819,12.4159731203752,8.637890206170077,9.299559016390253
19,8.323685981431122,13.217650655241734,12.404004924858437,8.550250527560825,9.209165593672369
20,8.35366776095906,13.20658936777851,12.34321479134342,8.517780550965513,9.203891035361561
21,8.323697939865923,13.18651948123678,12.271113446424366,8.64417383879011,9.207480086533232
22,8.306538735622425,13.236603118580542,12.302576962445752,8.558368048464951,9.3363043701053
23,8.241271893949333,13.159373893445391,12.375595887648421,8.434954686272402,9.316165582696755
24,8.21296325874405,13.2578264956071,12.348255544148666,8.477011090505902,9.300448346837694
25,8.256554745454459,13.335460897987897,12.320679121909702,8.424161219865395,9.259408216619992
26,8.21149576149043,13.525140163024146,12.350371381833241,8.399055388801557,9.319403542950997
27,8.314320618112141,13.508485892989118,12.425526971011072,8.366379395528709,9.285022354624566
28,8.324683254997543,13.585551568538323,12.492188430268184,8.365364731254408,9.1354253445753
29,8.420434833316172,13.525718555274684,12.557131166926782,8.338067509925633,9.177007846648559
30,8.45360795965258,13.580114290813057,12.575750922281816,8.4390679313631,9.16749500295304
31,8.43987110066629,13.649809383942124,12.623601876654838,8.34420342622207,9.147582483864324
32,8.471259924022963,13.630641176369867,12.685594589892892,8.37814604713068,9.03223726228473
33,8.472690204933192,13.7544371044967,12.769203747220232,8.509334273319462,9.092615168390708
34,8.37366609722575,13.714596700546458,12.75795763245347,8.493677652201928,9.070362814140092
35,8.374822042936877,13.614564869835002,12.84015982367143,8.513147900785096,9.059153117247925
36,8.446572217104032,13.510305968321218,12.742699438654823,8.538719212329308,9.085258749771077
37,8.497122532274064,13.458352877261383,12.637561301576335,8.55024153946107,9.123442305813857
38,8.515734752506365,13.46885723550131,12.629037022460434,8.56518023767008,9.206615825524848
39,8.461895228251535,13.501466281579287,12.62037620120856,8.70935069295684,9.290297528445404
40,8.376459830698032,13.386591205854177,12.675057225632957,8.546711367317073,9.284797419044272
41,8.37633834106741,13.310725319341607,12.715600920642299,8.623847344291727,9.341560558719479
42,8.364522344762994,13.366680264919642,12.648068712347383,8.638989662245903,9.491399242261483
43,8.4263573207371,13.283252678704836,12.568548817783615,8.656704917674482,9.408213957276732
44,8.492256976488688,13.23404473513455,12.489808051064882,8.683842875851084,9.420176006873927
45,8.489374175081744,13.227400713871972,12.361882774359865,8.66490939229156,9.500546531685485
46,8.490909708589509,13.20456918327881,12.466799851893905,8.67687383120588,9.454723776909171
47,8.409183157904351,13.199276823981984,12.551932205439694,8.674043080643829,9.544734435675016
48,8.450795940054322,13.1014785119084,12.531260344158351,8.718211315371194,9.519149458844506
49,8.504684451355383,13.244006842977104,12.447875323649255,8.619227142982544,9.42001698069626
50,8.523316989640424,13.252534322122951,12.37764394838543,8.690610478766354,9.436843154992511
51,8.600244989162425,13.278933915071299,12.326844190432674,8.664229820615608,9.468918534330982
52,8.61748641865692,13.228231209712664,12.412713985445805,8.70125611389684,9.420002626941919
53,8.563108870056677,13.237025508309275,12.39716900477482,8.680250118020323,9.552042571289578
54,8.612981580013564,13.325646387906218,12.415940762635817,8.597218896842701,9.517713133943381
55,8.584410998590885,13.39556888901195,12.464593446955877,8.642649620967777,9.500364180100298
56,8.602174544841368,13.383243316958298,12.396864751161939,8.6090351007741,9.501794232240595
57,8.641119219916256,13.38074602887022,12.422525365490205,8.543804132345388,9.506347437378327
58,8.654806331869512,13.489921964444502,12.376417571552146,8.492396325614523,9.561130318592342
59,8.5398272055757,13.390623758103441,12.389935686489176,8.530038671947686,9.613071910105322
60,8.518187653665375,13.50721416313559,12.314566717178051,8.408087367062677,9.617040026364254
61,8.51324566686723,13.420700186938566,12.364724129825795,8.384056031190863,9.51487878762621
62,8.59051349613866,13.446019481949646,12.291709121067548,8.353759975346359,9.419825161995615
63,8.577270951177406,13.551318310771968,12.256211912155358,8.348460083698395,9.358299195069451
64,8.551296628770508,13.507461311269903,12.35176128461277,8.401148415198293,9.289638627308383
65,8.591412653454753,13.454648166795149,12.378534601393142,8.381263029612375,9.275868196914496
66,8.61958035303602,13.481714637149768,12.404236399491356,8.456981515339073,9.331360367745202
67,8.555062278519108,13.512210845490685,12.399221321659125,8.531783432626659,9.30877991811389
68,8.51715996148377,13.44081829808158,12.457910359225671,8.599123348140028,9.25314466248267
69,8.599972101521706,13.42990747023815,12.482118467054578,8.587715274175787,9.295657563454142
70,8.70075868853015,13.323809560329154,12.528894058983624,8.75666357698883,9.36745655600349
71,8.777414620514406,13.480159977817408,12.56454279046826,8.776669913988531,9.445192460544146
72,8.730788652140793,13.492115854194513,12.604791743311335,8.80575429217838,9.51789076073282
73,8.715465172314193,13.417057352051703,12.6719356213141,8.802534599373686,9.523876338548874
74,8.743226514075168,13.469340448461715,12.586435682892418,8.81264861042591,9.622165439533791
75,8.7862837967377,13.46759215760399,12.583945667595248,8.884698200848685,9.582231309087982
76,8.766790071231048,13.419455479836987,12.553400350920734,8.819114736420856,9.544003627073975
77,8.813918856478024,13.417483720766668,12.491815697107636,8.808314660710268,9.570660244936658
78,8.889336177835366,13.431607719966397,12.524761328233614,8.835249213071156,9.723054875496098
79,8.929832252338349,13.399145400369138,12.531566731031543,8.903221381110418,9.603854947539427
80,8.86384433449129,13.404868118359293,12.509148924430306,8.828907645394251,9.512401591369684
81,8.781197868715765,13.326344858063141,12.430587215295317,8.861716811713501,9.45636797653331
82,8.830650766044702,13.401201912972244,12.455700854130034,8.909220818592006,9.505004712887196
83,8.93244587625963,13.265102508937153,12.459270658438045,8.93294711347534,9.47218949464221
84,8.916112140367073,13.220634467570333,12.489411221566336,8.915969832653909,9.38757852028629
85,8.853358082440202,13.310187244861082,12.442495991774273,8.831213310740306,9.422276975933167
86,8.900875819379047,13.350509964419881,12.494612571373624,8.880208764421889,9.501496679923237
87,8.892270174364757,13.411532394019146,12.463234120073452,8.825983070096875,9.492519248703331
88,8.875511365953287,13.41594489369102,12.415300935327476,8.755522524992903,9.40067086978436
89,8.800640325885858,13.433579973523386,12.412343799444328,8.77654463671909,9.48108361555791
90,8.886879175107694,13.355206060109321,12.440708174759445,8.831156292164595,9.54911292075002
91,8.867567561727194,13.387677375598654,12.458141207864589,8.782283154857659,9.564250168208423
92,8.880594001992076,13.257170611547785,12.400614070323359,8.711392938192995,9.492175047019371
93,8.855405919467325,13.345977756890061,12.387865038012015,8.688783460836698,9.500314200334454
94,8.813831757504799,13.331606786995232,12.403167562528523,8.679876724559556,9.514942659126111
95,8.888202122680912,13.332469901630121,12.26963869399088,8.698806891514327,9.474919555452333
96,8.90367999151174,13.435205165025899,12.215332791003236,8.674076117137036,9.449726776785539
97,8.98847918679828,12.058790109118044,10.997984676447846,8.75946197958259,9.448187417632543
98,8.9440270723323,10.711786598849585,9.732136151548485,8.801396523397395,9.470145972692768
99,8.987960393234145,9.399305218147203,8.509838219438647,8.713263453245045,9.461060335307218
100,8.95398018564878,8.157679995290316,7.294529236371064,8.767273986175047,9.424715808078822
101,8.937846608463905,,,8.789616774743829,9.43012711472329
102,8.958414756036392,,,8.780111756424054,9.423335931491327
103,8.949756493873139,,,8.764189789410533,9.452596056103994
104,8.894974404293258,,,8.881912542421688,9.516483048865364
105,8.85211194535322,,,8.902213735552426,9.546296976234451
106,8.779429973791691,,,8.893096930545317,9.493106215399722
107,8.744477818522196,,,8.910893001592568,9.453273097266925
108,8.763570361234901,,,8.830925871054282,9.563471796371338
109,8.81116155427896,,,8.810355186138121,9.597671926524942
110,8.853238675917122,,,8.699596976701372,9.594112239682495
111,8.896201008996288,,,8.729108300377817,9.620935052641274
112,8.82139447249656,,,8.787358089711237,9.617480952173155
113,8.818870176247735,,,8.858259730244948,9.60664788453095
114,8.929562489073112,,,8.809813540391426,9.610782966224882
115,8.891122212867895,,,8.787049526030263,9.51877790168549
116,8.933503441115338,,,8.787917319105306,9.460022180063921
117,8.959313281459337,,,8.727613294625241,9.451572207853484
118,9.038276867473257,,,8.717543444579936,9.327834288713348
119,9.059866408856026,,,8.882036863920197,9.28232917540933
120,8.99547445012455,,,8.972325859683101,9.332129571533356
121,9.022281671349933,,,8.970915366628962,9.280285523963338
122,9.003139951991313,,,8.993737672237838,9.269439698018118
123,9.03658501432474,,,8.964683110612848,9.343729481308808
124,9.020029614558132,,,8.954158100960619,9.339265503253428
125,9.016339520507378,,,8.94995570896603,9.460831115651189
126,9.007473715884297,,,8.977529234597526,9.61948076907929
127,8.890337176426785,,,8.992569375360603,9.619276348692646
128,8.76761593444404,,,9.032721138192008,9.605183089958022
129,8.716330750001113,,,8.983398767127257,9.603868475827033
