episode,agent_25Wh,agent_100Wh,agent_50Wh,agent_37Wh,agent_65Wh
0,3.9107647278940143,6.9392476744897955,6.639145790156891,4.0846051735975175,4.746167044858278
1,4.872816939072175,8.345429201989647,8.003914875739934,4.885847186763486,5.701043086612457
2,5.735837400411007,9.815733562527637,9.363676820062153,5.8046188100286225,6.718800064180298
3,6.718886966713296,11.158493295983012,10.687765343566964,6.7411572524426795,7.688913665133052
4,7.695871070149473,12.592684824931448,12.075539388552077,7.6627430965728465,8.585134449568317
5,8.640994865412457,14.051492951118094,13.367309543354645,8.488625767839375,9.547174312388439
6,8.972942703762687,14.11689735098013,13.38512781701738,8.60017571682382,9.508146665497899
7,9.119344544100588,14.230795057164743,13.400941881745608,8.586028317979371,9.588748190355329
8,9.201071725687314,14.28749835464711,13.406703533979396,8.765557334498762,9.59910692549765
9,9.225562228938744,14.25496392765465,13.403813446618502,8.781957127127102,9.705840165063988
10,9.284161691980279,14.152454781325726,13.47754374061965,8.914041572959224,9.675757586244167
11,9.19296602714648,14.21883064468638,13.510195092396952,9.064911475145681,9.701959659309347
12,9.276456932143113,14.180267652081286,13.44449033298979,9.017942502633328,9.704152908255844
13,9.26569844359947,14.326084831175779,13.428596228197957,8.943862653773518,9.768383765748798
14,9.232874007929015,14.257978308615437,13.42996363684858,8.949508245770955,9.861034570600985
15,9.215070250350282,14.256133872012505,13.453902272668676,8.998729993800886,9.852899889698897
16,9.10143236760367,14.256718462467475,13.443670741824535,9.019887037793609,9.826588453564495
17,9.137788188664768,14.299989511405213,13.51319353341199,9.096826647702214,9.794614335816592
18,9.214124262591618,14.297691825859351,13.510258012989155,8.961075918875423,9.822100738760657
19,9.279332731309708,14.38468834905757,13.541814022472547,8.91283410242796,9.784884032147248
20,9.250877199023401,14.424100356289603,13.494725177430356,8.870342189614243,9.773830236509891
21,9.280264480516042,14.448619108635103,13.473775840631726,8.808205343239878,9.814734738224828
22,9.167185977140422,14.419565259600901,13.531200877844826,8.827876169271434,9.75650552131843
23,9.069204586607466,14.38721227250129,13.586801365401442,8.911514080779149,9.70991173860466
24,9.125392906199513,14.378110392294381,13.511117393114679,8.951477837081612,9.76640099477004
25,9.06487554353248,14.296541455682917,13.463168114605828,8.980829905703882,9.819001922589447
26,9.119181318108804,14.275722826636843,13.445290874168414,8.96489271954118,9.899382411032052
27,9.20322163837274,14.238906881868955,13.275963520230729,9.011998184363385,9.903859632614964
28,9.1050645753215,14.295388628930592,13.279763933492156,9.035225259031618,9.90490896684593
29,9.089076505613301,14.291223304083816,13.291456224036041,9.146368213938047,9.862276786507644
30,9.138576528122591,14.278214961790084,13.352008188122683,9.164330652543432,9.855201495940724
31,9.165875488037178,14.255967148738929,13.405721024108754,9.222283691759339,9.86073966545136
32,9.3809055033055,14.256973929493812,13.442877274071009,9.16508370435121,9.881442351080612
33,9.36490476487349,14.266296243764574,13.392165543456958,9.104614381468894,9.823938986796747
34,9.338291897486785,14.342532461893253,13.42244581045249,9.019162791506448,9.854310021257335
35,9.394116812522174,14.32507730287395,13.495063306312495,9.039780882949286,9.856311637482072
36,9.427522044018103,14.26407971074019,13.401219434946121,9.082309591645998,9.797034216706495
37,9.412048678819442,14.386169388001521,13.451755053598418,9.132021302338146,9.808276620593317
38,9.44203967459948,14.340075974016496,13.440802015113043,9.176031043268019,9.845903224581209
39,9.449794426127765,14.341070654663147,13.30681934082947,9.151935564078252,9.967290503136542
40,9.336570971706616,14.481098694526453,13.300321583287195,9.18509481518881,9.943344818702217
41,9.365714620384818,14.448392001859363,13.201438367940657,9.174825475684518,9.95607485869571
42,9.2625087738554,14.486764944289053,13.08002866938246,9.32093236408226,10.03379040818561
43,9.364801071766314,14.400830343447623,13.127644116861177,9.373956501345798,10.069578117534157
44,9.370453978273867,14.410845399872608,13.158629731556152,9.368070345635953,9.976379601957207
45,9.398942413697231,14.534616834000685,13.17097841021845,9.311912139242018,9.91544583887311
46,9.378927766311428,14.486600179542574,13.227593744416321,9.228527443686946,9.973810092793183
47,9.329439682010506,14.449557748113179,13.296527042462657,9.197461531867939,9.994299686168066
48,9.336068166226923,14.421492991325211,13.352371651729161,9.275708513388757,10.021580669261901
49,9.383161449427451,14.38164139171297,13.457835189492577,9.382393535590499,9.995600832609691
50,9.529037041535824,14.377911735338333,13.418590888927117,9.373876326469244,10.015604235719596
51,9.500382605256013,14.354034015362222,13.442246615449264,9.416451840011462,9.88176538287695
52,9.494404793238012,14.380433579032207,13.571323931660991,9.341122616593292,9.818514931963517
53,9.433143044857763,14.418827667537187,13.526286508763876,9.282776738953812,9.86448585969449
54,9.440051246152617,14.404731804478448,13.588479971515554,9.374735219265576,9.892461457721138
55,9.454870098366165,14.37872190985835,13.554610496274668,9.455876769554497,9.928786513691929
56,9.531741240896949,14.432816453987094,13.570652350444028,9.533384674484356,9.946388387450574
57,9.53369643474315,14.268655633685484,13.51377607483859,9.526701656980089,10.02145080973096
58,9.549971267721771,14.219238330428759,13.493213821648087,9.49406104042543,10.011776598909364
59,9.511178850320395,14.306463455902993,13.400981162639384,9.474431090945016,9.946588126909091
60,9.48082193279064,14.252235072148293,13.413517313154145,9.498695604218428,9.96056499707243
61,9.484554513666724,14.240862607702567,13.351925307289083,9.476303204511831,10.046692769772532
62,9.449919643189865,14.139194857722732,13.304219388674452,9.542089281791306,10.12657522641004
63,9.528626477541692,14.101372448594669,13.375818315658103,9.618500473211698,10.106852663555697
64,9.514223910017556,14.00719829131661,13.310481813708561,9.565444516853457,10.096260736957833
65,9.450752236710587,13.978646452180541,13.227411026845797,9.58272826755946,10.091154976986564
66,9.428947152550885,13.935958917350069,13.31784634044138,9.519017942006187,10.139331419915353
